abbreviation,team,park,city,latitude,longitude,color,div
LAA,Angels,Angel Stadium of Anaheim,"Anaheim, CA",33.799925,-117.883194,#BA0021,ALW
SF,Giants,AT&T Park,"San Francisco, CA",37.778473,-122.389595,#FD5A1E,NLW
COL,Rockies,Coors Field,"Denver, CO",39.755891,-104.994198,#33006F,NLW
STL,Cardinals,Busch Stadium,"St. Louis, MO",38.622317,-90.193891,#C41E3A,NLC
ARI,Diamondbacks,Chase Field,"Phoenix, AZ",33.445526,-112.066721,#A71930,NLW
LAD,Dodgers,Dodger Stadium,"Los Angeles, CA",34.072724,-118.240646,#005A9C,NLW
NYM,Mets,Citi Field,"New York, NY",40.756337,-73.846043,#002D72,NLE
PHI,Phillies,Citizens Bank Park,"Philadelphia, PA",39.905547,-75.166589,#E81828,NLE
DET,Tigers,Comerica Park,"Detroit, MI",42.339227,-83.049506,#0C2340,ALC
BOS,Red Sox,Fenway Park,"Boston, MA",42.346619,-71.096961,#BD3039,ALE
TEX,Rangers,Globe Life Park in Arlington,"Arlington, TX",32.751147,-97.082454,#003278,ALC
CIN,Reds,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158,#C6011F,NLC
KC,Royals,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115,#004687,ALC
MIA,Marlins,Marlins Park,"Miami, FL",25.778655,-80.220305,#00A3E0,NLE
MIL,Brewers,Miller Park,"Milwaukee, WI",43.027982,-87.971165,#FFC52F,NLC
HOU,Astros,Minute Maid Park,"Houston, TX",29.756965,-95.354824,#002D62,NLC
WAS,Nationals,Nationals Park,"Washington, DC",38.87301,-77.007457,#AB0003,NLE
OAK,Athletics,O.co Coliseum,"Oakland, CA",37.751605,-122.200523,#003831,ALW
BAL,Orioles,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618,#DF4601,ALE
SD,Padres,Petco Park,"San Diego, CA",32.70771,-117.157097,#2F241D,NLW
PIT,Pirates,PNC Park,"Pittsburgh, PA",40.447307,-80.006841,#27251F,NLC
CLE,Indians,Progressive Field,"Cleveland, OH",41.496192,-81.685238,#0C2340,ALC
TOR,Blue Jays,Rogers Centre,"Toronto, ON",43.641111,-79.389675,#134A8E,ALE
SEA,Mariners,Safeco Field,"Seattle, WA",47.591358,-122.332283,#0C2C56,ALW
MIN,Twins,Target Field,"Minneapolis, MN",44.981713,-93.277347,#002B5C,NLC
TB,Rays,Tropicana Field,"St. Petersburg, FL",27.76816,-82.653465,#092C5C,ALE
ATL,Braves,Turner Field,"Atlanta, GA",33.734805,-84.389996,#CE1141,NLE
CWS,White Sox,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354,#27251F,ALC
CHC,Cubs,Wrigley Field,"Chicago, IL",41.947856,-87.655887,#0E3386,NLC
NYY,Yankees,Yankee Stadium,"Bronx, NY",40.829327,-73.927735,#003087,ALE
